".id","Pre.Pull.Filler.RT","Pre.Push.Filler.RT","Pre.Pull.Go.RT","Pre.Push.Go.RT","Pre.Pull.NoGo.RT","Pre.Push.NoGo.RT","Post.Pull.Filler.RT","Post.Push.Filler.RT","Post.Pull.Go.RT","Post.Push.Go.RT","Post.Pull.NoGo.RT","Post.Push.NoGo.RT","Pre.Pull.RT","Pre.Push.RT","Post.Pull.RT","Post.Push.RT","Pre.Pull.Filler.ER","Pre.Push.Filler.ER","Pre.Pull.Go.ER","Pre.Push.Go.ER","Pre.Pull.NoGo.ER","Pre.Push.NoGo.ER","Post.Pull.Filler.ER","Post.Push.Filler.ER","Post.Pull.Go.ER","Post.Push.Go.ER","Post.Pull.NoGo.ER","Post.Push.NoGo.ER","Pre.Pull.ER","Pre.Push.ER","Post.Pull.ER","Post.Push.ER","Pre.ER","Post.ER","Pre_Go_bias","Pre_NoGo_bias","Pre_Filler_bias","Post_Go_bias","Post_NoGo_bias","Post_Filler_bias","D_Go","D_NoGo","D_Filler"
"103060457",907.737373737374,922.181818181818,903.60101010101,910.89898989899,875.565656565657,916.111111111111,821.287878787879,809.242424242424,780.262626262626,841.414141414141,776.707070707071,777.070707070707,891.89898989899,916.111111111111,783.994949494949,808.747474747475,0.0277777777777778,0.0833333333333333,0.111111111111111,0.0555555555555556,0.0555555555555556,0.0277777777777778,0.0555555555555556,0.0555555555555556,0,0.0833333333333333,0,0.0277777777777778,0.0648148148148148,0.0555555555555556,0.0185185185185185,0.0555555555555556,0.0601851851851852,0.037037037037037,7.29797979797979,40.5454545454545,14.4444444444443,61.1515151515152,0.363636363636374,-12.0454545454545,53.8535353535354,-40.1818181818181,-26.4898989898988
"114222846",871.727272727273,831.010101010101,833,791.919191919192,886.954545454545,807.757575757576,841.414141414141,812.373737373737,786.979797979798,746.474747474748,799.343434343434,759.272727272727,876.454545454545,808.747474747475,808.252525252525,783.030303030303,0.333333333333333,0.25,0.194444444444444,0.0833333333333333,0.277777777777778,0.194444444444444,0.138888888888889,0.166666666666667,0.277777777777778,0.277777777777778,0.305555555555556,0.25,0.268518518518519,0.175925925925926,0.240740740740741,0.231481481481481,0.222222222222222,0.236111111111111,-41.0808080808081,-79.1969696969697,-40.7171717171717,-40.5050505050503,-40.070707070707,-29.040404040404,0.575757575757734,39.1262626262627,11.6767676767677
"117539609",890.414141414141,837.207070707071,856.585858585859,854.121212121212,883,857.323232323232,824.242424242424,839.757575757576,824.585858585859,807.757575757576,865.580808080808,800,883.5,849.742424242424,839.757575757576,816,0.0555555555555556,0.111111111111111,0.0555555555555556,0.111111111111111,0,0.166666666666667,0.0277777777777778,0.0277777777777778,0.0555555555555556,0.0277777777777778,0.0555555555555556,0.0833333333333333,0.037037037037037,0.12962962962963,0.0462962962962963,0.0462962962962963,0.0833333333333333,0.0462962962962963,-2.46464646464653,-25.6767676767677,-53.2070707070708,-16.8282828282828,-65.5808080808081,15.5151515151515,-14.3636363636363,-39.9040404040404,68.7222222222223
"119643659",661.252525252525,809.737373737374,743.414141414141,813.035353535354,670.181818181818,759.580808080808,759,801.323232323232,725.5,783.838383838384,775.5,776.080808080808,704.343434343434,801,750.5,779.540404040404,0.138888888888889,0.194444444444444,0.0833333333333333,0.166666666666667,0.0277777777777778,0.0555555555555556,0.111111111111111,0.0555555555555556,0.0555555555555556,0.0277777777777778,0.111111111111111,0.0833333333333333,0.0833333333333333,0.138888888888889,0.0925925925925926,0.0555555555555556,0.111111111111111,0.0740740740740741,69.6212121212122,89.3989898989898,148.484848484848,58.3383838383838,0.580808080808083,42.3232323232323,-11.2828282828284,-88.8181818181818,-106.161616161616
"123983231",824.585858585859,861.121212121212,783,897.49494949495,816.171717171717,906.747474747475,663.131313131313,700,626.606060606061,734.772727272727,643.434343434343,733,791.59595959596,901.111111111111,643.434343434343,717,0.222222222222222,0.166666666666667,0.25,0.138888888888889,0.25,0.0833333333333333,0.0555555555555556,0.0833333333333333,0.0833333333333333,0.0555555555555556,0.138888888888889,0.111111111111111,0.240740740740741,0.12962962962963,0.0925925925925926,0.0833333333333333,0.185185185185185,0.087962962962963,114.49494949495,90.5757575757576,36.5353535353537,108.166666666667,89.5656565656566,36.8686868686868,-6.32828282828291,-1.01010101010104,0.333333333333144
"131308042",1002.86868686869,1073.05050505051,1022.56565656566,1017.83838383838,1058.67171717172,1061.12121212121,808.747474747475,799.474747474748,816.661616161616,827.777777777778,832.914141414141,824.242424242424,1022.56565656566,1055.23232323232,824.585858585859,817,0.111111111111111,0.0833333333333333,0.0833333333333333,0.0555555555555556,0.111111111111111,0.0833333333333333,0.0277777777777778,0.0555555555555556,0.0555555555555556,0,0.0555555555555556,0.0277777777777778,0.101851851851852,0.0740740740740741,0.0462962962962963,0.0277777777777778,0.087962962962963,0.037037037037037,-4.72727272727275,2.44949494949492,70.1818181818182,11.1161616161615,-8.67171717171721,-9.27272727272714,15.8434343434343,-11.1212121212121,-79.4545454545454
"132604784",804.373737373737,832.914141414141,759.090909090909,874.409090909091,812.373737373737,872.727272727273,700,717.676767676768,725.59595959596,684,729.79797979798,767.181818181818,800,858.242424242424,725.59595959596,717.676767676768,0.0555555555555556,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.0833333333333333,0.0277777777777778,0.0555555555555556,0.0555555555555556,0.0277777777777778,0.111111111111111,0.0277777777777778,0.0925925925925926,0.101851851851852,0.0648148148148148,0.037037037037037,0.0972222222222222,0.0509259259259259,115.318181818182,60.3535353535353,28.540404040404,-41.5959595959596,37.3838383838385,17.6767676767677,-156.914141414141,-22.9696969696969,-10.8636363636364
"133858743",1000,1091.74747474747,1011.36363636364,1133,1016,1085.86363636364,857.252525252525,974.060606060606,883,916,894.691919191919,919.787878787879,1011.36363636364,1105.71717171717,886.954545454545,940.40404040404,0.194444444444444,0.166666666666667,0.333333333333333,0.305555555555556,0.194444444444444,0.111111111111111,0.138888888888889,0.111111111111111,0.138888888888889,0.138888888888889,0.166666666666667,0.222222222222222,0.240740740740741,0.194444444444444,0.148148148148148,0.157407407407407,0.217592592592593,0.152777777777778,121.636363636364,69.8636363636365,91.7474747474748,33,25.0959595959596,116.808080808081,-88.6363636363636,-44.7676767676769,25.060606060606
"136687546",827.393939393939,704.378787878788,874.080808080808,729.29797979798,866,733,921.212121212121,691.939393939394,890.909090909091,725.59595959596,894.19696969697,711.454545454545,862.121212121212,716,906.747474747475,703.383838383838,0.111111111111111,0.0555555555555556,0.0833333333333333,0.111111111111111,0.138888888888889,0.0277777777777778,0.0277777777777778,0,0.0277777777777778,0,0.111111111111111,0,0.111111111111111,0.0648148148148148,0.0555555555555556,0,0.087962962962963,0.0277777777777778,-144.782828282828,-133,-123.015151515152,-165.313131313131,-182.742424242424,-229.272727272727,-20.5303030303031,-49.7424242424242,-106.257575757576
"149381291",700,650,701.257575757576,689.393939393939,782.515151515152,683.30303030303,698.136363636364,684,684.429292929293,708.767676767677,658.313131313131,650,715.727272727273,667,676.10101010101,677.090909090909,0.194444444444444,0.194444444444444,0.277777777777778,0.166666666666667,0.138888888888889,0.222222222222222,0.0555555555555556,0.0277777777777778,0.0555555555555556,0.0277777777777778,0.111111111111111,0.0833333333333333,0.203703703703704,0.194444444444444,0.0740740740740741,0.0462962962962963,0.199074074074074,0.0601851851851852,-11.8636363636363,-99.2121212121212,-50,24.3383838383838,-8.31313131313129,-14.1363636363636,36.2020202020201,90.89898989899,35.8636363636364
