".id","Pre.Liking.Go","Pre.Liking.Nogo","Pre.Liking.Filler","Post.Liking.Go","Post.Liking.Nogo","Post.Liking.Filler","DLiking_Go","DLiking_Nogo","DLiking_Filler"
"103060457",68.1666666666667,78.1666666666667,52.6666666666667,48.6666666666667,79.6666666666667,54.5,-19.5,1.5,1.83333333333334
"114222846",72,66.6666666666667,66.6666666666667,62.5,61.8333333333333,59.3333333333333,-9.5,-4.83333333333334,-7.33333333333334
"117539609",71.8333333333333,83.3333333333333,72.1666666666667,61.5,71.1666666666667,67.5,-10.3333333333333,-12.1666666666667,-4.66666666666667
"119643659",75.3333333333333,77.8333333333333,78.3333333333333,75,71,70,-0.333333333333329,-6.83333333333333,-8.33333333333333
"123983231",90,93.8333333333333,92.3333333333333,97.3333333333333,97,96.5,7.33333333333333,3.16666666666667,4.16666666666667
"131308042",94.5,67.6666666666667,72.1666666666667,86,68.5,72.1666666666667,-8.5,0.833333333333329,0
"132604784",65.8333333333333,73.3333333333333,52.8333333333333,37.5,43.3333333333333,32.8333333333333,-28.3333333333333,-30,-20
"133858743",36.1666666666667,52,59.3333333333333,41.8333333333333,56.5,62,5.66666666666667,4.5,2.66666666666666
"136687546",88.6666666666667,84.5,66.1666666666667,67.1666666666667,41,42.6666666666667,-21.5,-43.5,-23.5
"149381291",82.3333333333333,77.8333333333333,80.6666666666667,70.3333333333333,67,67.3333333333333,-12,-10.8333333333333,-13.3333333333333
"149576779",82.3333333333333,79.3333333333333,84.8333333333333,64.1666666666667,63.1666666666667,64.5,-18.1666666666667,-16.1666666666667,-20.3333333333333
"155873958",92.8333333333333,80.6666666666667,85.3333333333333,91.1666666666667,82.3333333333333,84,-1.66666666666666,1.66666666666666,-1.33333333333333
"160043283",84.8333333333333,71.5,80.8333333333333,75,73.8333333333333,78.3333333333333,-9.83333333333333,2.33333333333333,-2.5
"162945606",61.1666666666667,74.8333333333333,79.5,61.6666666666667,70.3333333333333,74.6666666666667,0.5,-4.5,-4.83333333333333
"18578989",80.8333333333333,76.1666666666667,78.5,74.3333333333333,63.6666666666667,57.8333333333333,-6.5,-12.5,-20.6666666666667
"190661087",69.5,81.6666666666667,69.8333333333333,65.5,78.1666666666667,68.5,-4,-3.5,-1.33333333333333
"193808848",51,62.5,75.6666666666667,55.5,67.1666666666667,66.1666666666667,4.5,4.66666666666667,-9.5
"194153498",84,69,46,71.8333333333333,68.8333333333333,40.8333333333333,-12.1666666666667,-0.166666666666671,-5.16666666666666
"19542589",51.3333333333333,83.8333333333333,78.5,55.3333333333333,80.5,65.1666666666667,4,-3.33333333333333,-13.3333333333333
"197796674",54.3333333333333,88.8333333333333,57,59.3333333333333,94,66.3333333333333,5,5.16666666666667,9.33333333333333
"209134414",41,45.3333333333333,89.6666666666667,45.8333333333333,45,86.3333333333333,4.83333333333334,-0.333333333333336,-3.33333333333334
"209242195",59.8333333333333,61.6666666666667,92.3333333333333,43.5,42.6666666666667,69,-16.3333333333333,-19,-23.3333333333333
"219513433",97.5,78.5,75.8333333333333,91.1666666666667,75.5,71,-6.33333333333333,-3,-4.83333333333333
"231332048",81.6666666666667,83.6666666666667,77.1666666666667,73.1666666666667,80.1666666666667,72.1666666666667,-8.5,-3.5,-5
"239671458",70.6666666666667,70.8333333333333,62.1666666666667,69.8333333333333,70.6666666666667,55.8333333333333,-0.833333333333343,-0.166666666666657,-6.33333333333333
"260781576",79.6666666666667,87,89.1666666666667,76,83.6666666666667,98.1666666666667,-3.66666666666667,-3.33333333333333,9
"264515770",83.3333333333333,84.6666666666667,86.5,82,84.3333333333333,91.3333333333333,-1.33333333333333,-0.333333333333343,4.83333333333333
"265335157",55,76,66,52.6666666666667,71.5,57,-2.33333333333334,-4.5,-9
"267950350",46.3333333333333,86.8333333333333,66.8333333333333,37,93.6666666666667,72.3333333333333,-9.33333333333334,6.83333333333334,5.5
"273401356",81.1666666666667,72.3333333333333,81.5,74,53.1666666666667,69,-7.16666666666667,-19.1666666666667,-12.5
"273550662",76.6666666666667,97,69.1666666666667,77.8333333333333,93.6666666666667,81,1.16666666666666,-3.33333333333333,11.8333333333333
"285514818",76.5,72.6666666666667,82.5,73.5,72.8333333333333,75.1666666666667,-3,0.166666666666657,-7.33333333333333
"29646738",64.6666666666667,91.8333333333333,66.3333333333333,52.1666666666667,84.1666666666667,52.8333333333333,-12.5,-7.66666666666666,-13.5
"296767285",55,62.8333333333333,65.6666666666667,55.1666666666667,53.5,61.3333333333333,0.166666666666664,-9.33333333333334,-4.33333333333334
"300152087",68.6666666666667,60,63.8333333333333,50,45.3333333333333,48,-18.6666666666667,-14.6666666666667,-15.8333333333333
"308023524",49.3333333333333,69.1666666666667,75.5,49.8333333333333,65,72.1666666666667,0.5,-4.16666666666667,-3.33333333333333
"310026331",62.1666666666667,69.3333333333333,63.3333333333333,68,75.6666666666667,59,5.83333333333334,6.33333333333334,-4.33333333333334
"318095401",96.6666666666667,77,66.6666666666667,93,78.5,67.5,-3.66666666666667,1.5,0.833333333333329
"318642411",79.1666666666667,90.3333333333333,64.5,83,73,60.5,3.83333333333333,-17.3333333333333,-4
"32443503",43.3333333333333,45,52,46.1666666666667,56,50,2.83333333333333,11,-2
"330258395",60.8333333333333,59.6666666666667,64.6666666666667,55.8333333333333,57.3333333333333,63.6666666666667,-5,-2.33333333333333,-1.00000000000001
"337086499",93,62.3333333333333,66.3333333333333,92.8333333333333,52,75.1666666666667,-0.166666666666671,-10.3333333333333,8.83333333333334
