".id","FillerGo.RT","Go.RT","FillerGo.PE","FillerNoGo.PE","Go.PE","NoGo.PE","FillerGo.PC","FillerNoGo.PC","Go.PC","NoGo.PC","goRT_rm","PE_rm"
"103060457",449.888888888889,440.597222222222,0,0,0,0.0138888888888889,1,1,1,0.986111111111111,"0","0"
"114222846",459.111111111111,445.263888888889,0,0.0555555555555556,0,0.0694444444444444,1,0.944444444444444,1,0.930555555555556,"0","0"
"117539609",494.083333333333,508.333333333333,0,0,0,0.0138888888888889,1,1,1,0.986111111111111,"0","0"
"119643659",538.371428571429,534.402777777778,0.0277777777777778,0.0833333333333333,0,0.0694444444444444,0.972222222222222,0.916666666666667,1,0.930555555555556,"0","0"
"123983231",584.361111111111,595.12676056338,0,0.0277777777777778,0.0138888888888889,0.0138888888888889,1,0.972222222222222,0.986111111111111,0.986111111111111,"0","0"
"131308042",392.166666666667,391.722222222222,0,0.0277777777777778,0,0.0277777777777778,1,0.972222222222222,1,0.972222222222222,"0","0"
"132604784",568.514285714286,640.30985915493,0.0277777777777778,0.0555555555555556,0.0138888888888889,0.0138888888888889,0.972222222222222,0.944444444444444,0.986111111111111,0.986111111111111,"0","0"
"133858743",571.472222222222,577.098591549296,0,0,0.0138888888888889,0.0277777777777778,1,1,0.986111111111111,0.972222222222222,"0","0"
"136687546",709,674.277777777778,0,0.0555555555555556,0,0.0277777777777778,1,0.944444444444444,1,0.972222222222222,"0","0"
"149381291",367.694444444444,371.5,0,0.0277777777777778,0,0.0277777777777778,1,0.972222222222222,1,0.972222222222222,"0","0"
"149576779",438.444444444444,429.323943661972,0,0.0277777777777778,0.0138888888888889,0.0277777777777778,1,0.972222222222222,0.986111111111111,0.972222222222222,"0","0"
"155873958",579.361111111111,613.5,0,0.0833333333333333,0,0.0416666666666667,1,0.916666666666667,1,0.958333333333333,"0","0"
"160043283",393.027777777778,407.3,0,0.0277777777777778,0.0277777777777778,0.0138888888888889,1,0.972222222222222,0.972222222222222,0.986111111111111,"0","0"
"162945606",532.888888888889,504.958333333333,0,0.0833333333333333,0,0.0555555555555556,1,0.916666666666667,1,0.944444444444444,"0","0"
