subj.number,script.subjectid,values.selected_1,values.selected_2,values.selected_3,values.selected_1_id,values.selected_2_id,values.selected_3_id
58,737053816,go_savoury,nogo_savoury,filler_sweet,CHI1.jpg,PIZ2.jpg,CAK1.jpg
59,775381059,go_sweet,filler_sweet,filler_savoury,CHO3.jpg,BIS2.jpg,PIZ1.jpg
60,3396577,go_savoury,nogo_savoury,filler_savoury,PIZ1.jpg,CRI3.jpg,CHI3.jpg
61,285514818,filler_sweet,filler_sweet,go_sweet,CAK1.jpg,CAK3.jpg,CHO1.jpg
62,437338224,go_sweet,filler_savoury,filler_sweet,CAK2.jpg,PIZ1.jpg,BIS2.jpg
63,586636581,go_savoury,nogo_sweet,,CRI3.jpg,CHO2.jpg,
64,955658953,filler_savoury,nogo_savoury,nogo_sweet,PIZ2.jpg,CHI1.jpg,CHO3.jpg
65,265335157,nogo_savoury,nogo_savoury,filler_savoury,PIZ1.jpg,PIZ2.jpg,CHI3.jpg
66,190661087,nogo_savoury,go_savoury,go_savoury,CHI3.jpg,CRI3.jpg,CRI2.jpg
67,606298920,filler_savoury,go_savoury,filler_savoury,PIZ3.jpg,CHI3.jpg,PIZ1.jpg
68,412896337,filler_savoury,filler_savoury,nogo_savoury,CHI1.jpg,CHI3.jpg,PIZ3.jpg
69,527733219,go_savoury,go_savoury,filler_savoury,PIZ1.jpg,PIZ2.jpg,CHI2.jpg
70,219513433,go_sweet,filler_sweet,nogo_sweet,CHO1.jpg,BIS1.jpg,CAK2.jpg
71,470240193,filler_sweet,go_sweet,filler_sweet,CAK1.jpg,CHO1.jpg,CAK2.jpg
72,656343746,go_savoury,go_sweet,go_sweet,PIZ2.jpg,CAK3.jpg,CAK2.jpg
73,410712011,go_sweet,nogo_sweet,go_sweet,CHO2.jpg,CAK1.jpg,CHO1.jpg
74,123983231,filler_savoury,filler_sweet,go_sweet,CRI1.jpg,CAK1.jpg,CHO1.jpg
75,136687546,go_savoury,go_savoury,filler_savoury,PIZ3.jpg,PIZ2.jpg,CHI1.jpg
76,990633530,go_sweet,go_sweet,filler_sweet,CHO1.jpg,CHO3.jpg,CAK2.jpg
77,451279190,go_sweet,go_savoury,filler_sweet,BIS2.jpg,CHI1.jpg,CAK2.jpg
78,117539609,nogo_savoury,nogo_sweet,go_sweet,PIZ1.jpg,BIS2.jpg,CAK2.jpg
79,675669781,filler_savoury,nogo_savoury,nogo_savoury,CHI1.jpg,PIZ3.jpg,PIZ1.jpg
80,573410707,filler_sweet,nogo_sweet,go_sweet,CHO3.jpg,CAK1.jpg,BIS1.jpg
81,364159032,nogo_sweet,go_savoury,nogo_savoury,CHO2.jpg,PIZ2.jpg,CRI2.jpg
82,515800984,filler_sweet,filler_savoury,go_savoury,CAK2.jpg,PIZ3.jpg,CHI3.jpg
83,5147937,filler_savoury,go_sweet,go_savoury,PIZ2.jpg,BIS1.jpg,CRI3.jpg
84,594205485,go_sweet,filler_sweet,filler_sweet,BIS1.jpg,CAK2.jpg,CAK3.jpg
85,962931406,go_savoury,filler_savoury,nogo_savoury,CRI1.jpg,CHI2.jpg,PIZ1.jpg
86,816822146,nogo_savoury,filler_savoury,filler_savoury,CRI2.jpg,PIZ2.jpg,PIZ1.jpg
87,296767285,go_sweet,go_savoury,go_sweet,CAK2.jpg,CRI1.jpg,CAK3.jpg
88,103060457,nogo_sweet,filler_savoury,go_savoury,CHO1.jpg,CRI1.jpg,PIZ3.jpg
89,119643659,go_savoury,nogo_savoury,filler_savoury,PIZ1.jpg,CHI1.jpg,CRI1.jpg
90,492541067,nogo_savoury,nogo_savoury,,PIZ3.jpg,PIZ1.jpg,
91,583685885,go_savoury,nogo_sweet,nogo_sweet,PIZ1.jpg,CHO2.jpg,CHO1.jpg
92,18578989,go_sweet,go_sweet,nogo_savoury,CHO1.jpg,CHO2.jpg,CHI3.jpg
93,209134414,go_sweet,filler_sweet,go_sweet,BIS3.jpg,CAK1.jpg,BIS2.jpg
94,193808848,filler_sweet,filler_sweet,nogo_sweet,CHO1.jpg,CHO2.jpg,CAK1.jpg
95,391300338,nogo_savoury,nogo_sweet,go_savoury,PIZ3.jpg,CHO3.jpg,CHI2.jpg
96,194153498,go_savoury,nogo_savoury,go_sweet,CHI1.jpg,PIZ2.jpg,CHO2.jpg
97,931261899,filler_sweet,go_sweet,go_sweet,CHO3.jpg,CAK2.jpg,CAK1.jpg
98,406582561,nogo_savoury,filler_savoury,go_savoury,PIZ3.jpg,CHI2.jpg,CRI3.jpg
99,376859325,filler_savoury,nogo_savoury,go_savoury,PIZ1.jpg,CHI1.jpg,CRI2.jpg
100,891945452,go_sweet,filler_savoury,go_savoury,BIS2.jpg,CHI3.jpg,CRI2.jpg
101,998337747,go_sweet,filler_sweet,filler_savoury,CHO3.jpg,CAK2.jpg,PIZ3.jpg
102,496063152,nogo_sweet,go_sweet,go_sweet,BIS2.jpg,CHO3.jpg,CHO1.jpg
103,713985884,filler_savoury,filler_savoury,go_savoury,CHI1.jpg,CHI3.jpg,CRI3.jpg
104,882433804,nogo_savoury,nogo_sweet,filler_sweet,PIZ1.jpg,BIS2.jpg,CHO2.jpg
105,619168903,nogo_sweet,nogo_savoury,filler_savoury,CHO1.jpg,PIZ2.jpg,CHI1.jpg
106,639147148,go_savoury,nogo_savoury,nogo_sweet,CHI2.jpg,CRI1.jpg,CHO1.jpg
107,502726958,nogo_sweet,go_savoury,filler_savoury,CHO3.jpg,CHI2.jpg,PIZ2.jpg
108,385788325,go_savoury,filler_sweet,nogo_sweet,CHI1.jpg,CHO3.jpg,CAK2.jpg
109,162945606,nogo_sweet,filler_savoury,nogo_sweet,CHO1.jpg,PIZ1.jpg,CHO3.jpg
110,940535692,go_sweet,filler_sweet,filler_savoury,CHO1.jpg,BIS1.jpg,CHI1.jpg
111,757458211,nogo_sweet,filler_savoury,nogo_sweet,CHO2.jpg,CHI2.jpg,CHO1.jpg
112,973812824,filler_savoury,go_savoury,filler_sweet,PIZ1.jpg,CHI1.jpg,CHO3.jpg
113,670961462,filler_savoury,go_sweet,go_savoury,PIZ1.jpg,CHO1.jpg,CHI1.jpg
114,970924693,go_sweet,nogo_savoury,nogo_savoury,CAK1.jpg,PIZ2.jpg,PIZ3.jpg
115,770429983,nogo_savoury,nogo_savoury,go_savoury,CHI1.jpg,CHI2.jpg,PIZ1.jpg
