"H","t","df","p","md","ll","ul","xi"
"H1a",-0.902423671141662,98,0.369044543154947,-5.11738598102233,-16.3707321157145,6.13596015366987,0.0710314372705337
"H3a",-1.66966436013627,98,0.0981771739987729,-1.02861952861953,-2.25117780221813,0.19393874497907,0.1027865297144
"H3b",-0.0856918614224851,98,0.931886200532247,-0.0622895622895627,-1.50480238751314,1.38022326293401,0.005740921389025
"H4a",-3.11408967580077,98,0.00241944635215208,-0.00911896745230079,-0.0149300698969212,-0.00330786500768037,0.196398006422612
